Value,Information,Image link
None observed,,
Tegillarca granosa,"Estuarine species, common in tropical coastal areas. Also known as Kwambuck or Cockle Shell",
Polymesoda erosa,"Estuarine species, found in mangrove ecosystems. Also known as mudshell",
Telescopium telescopium,"Tropical estuarine species, common on intertidal flats",
Volema cochlidium,"Tropical estuarine species, common on intertidal flats",
Other invertebrates,"Use for all other marine shellfish species, please photograph and describe representative specimens",
Velesunio ambiguus,"Freshwater species, found in many inland river systems",
Alathyria spp.,"Freshwater species, common in Murray-Darling and other inland river systems. Similar form to Velesunio, but more compact",
Freshwater molluscs-other,"Other freshwater species, photograph and describe representative specimens",
Fish bone,"Any fish bones, including otoliths",
Dugong bone,"Robust marine mammal, distinctive anatomy. Rare on archaeological sites",
Turtle bone or shell,"Marine turtle bone or shell, restricted to northern and eastern Australia. Rare on archaeological sites",
Other vertebrate fauna,"Other vertebrate fauna, photograph and describe representative specimens",
Introduced fauna,"For exotic species such as cattle, sheep, pig or goat",
Other,Please describe with annotation,